time frecuency % confidence 
0.00000 65.36430 5.08390 
0.01000 65.07312 65.48041 
0.02000 65.09735 92.80669 
0.03000 65.21303 91.79567 
0.04000 65.39559 91.78587 
0.05000 65.47729 93.82845 
0.06000 65.39101 93.20410 
0.07000 65.38319 95.31479 
0.08000 65.38319 94.13201 
0.09000 65.30575 92.73541 
0.10000 65.40021 94.10851 
0.11000 65.36997 94.35011 
0.12000 65.24570 93.90366 
0.13000 65.26891 93.80663 
0.14000 65.35509 93.21076 
0.15000 65.36824 95.04484 
0.16000 65.31371 95.30186 
0.17000 65.23423 94.25230 
0.18000 65.31498 94.12688 
0.19000 65.38312 95.45051 
0.20000 65.28887 94.79273 
0.21000 65.36523 95.24921 
0.22000 65.22367 94.84251 
0.23000 65.31927 93.87549 
0.24000 65.35809 95.71203 
0.25000 65.24919 95.37237 
0.26000 65.29240 93.50071 
0.27000 65.24122 94.64895 
0.28000 65.27518 95.09436 
0.29000 65.18850 94.24264 
0.30000 65.34737 95.31934 
0.31000 65.26454 94.45884 
0.32000 65.16879 93.96268 
0.33000 65.29293 95.62944 
0.34000 65.22463 94.30816 
0.35000 65.22724 93.17729 
0.36000 65.28297 94.97153 
0.37000 65.16110 94.47465 
0.38000 65.10377 95.00894 
0.39000 65.28896 93.93082 
0.40000 65.21966 93.47366 
0.41000 65.22134 94.50687 
0.42000 65.16764 94.51920 
0.43000 65.09803 94.24062 
0.44000 65.21908 92.99566 
0.45000 65.17363 93.67432 
0.46000 65.15511 93.66339 
0.47000 65.19999 93.47871 
0.48000 65.12315 93.64958 
0.49000 65.19984 91.81737 
0.50000 65.16858 92.93405 
0.51000 65.01928 93.74467 
0.52000 65.00700 91.82279 
0.53000 65.11458 92.20198 
0.54000 65.08530 93.08604 
0.55000 64.98948 91.54768 
0.56000 64.94903 92.23911 
0.57000 64.98198 91.73360 
0.58000 64.99093 90.28922 
0.59000 65.05467 92.07878 
0.60000 64.94916 91.23753 
0.61000 64.81367 91.23931 
0.62000 65.01204 91.07319 
0.63000 64.89274 91.14606 
0.64000 64.81045 90.58643 
0.65000 64.95769 90.96482 
0.66000 64.87751 91.21455 
0.67000 64.73345 91.19561 
0.68000 64.84903 90.34393 
0.69000 64.78320 89.86985 
0.70000 64.74169 90.65630 
0.71000 64.79971 91.81482 
0.72000 64.76751 90.22230 
0.73000 64.77116 89.51033 
0.74000 64.79976 90.56368 
0.75000 64.77356 91.20724 
0.76000 64.78727 90.43071 
0.77000 64.84755 90.73414 
0.78000 64.87864 90.71354 
0.79000 64.89114 90.58957 
0.80000 64.91667 92.57072 
0.81000 64.95258 91.73602 
0.82000 64.91639 90.40990 
0.83000 64.98029 91.07650 
0.84000 64.98463 91.31709 
0.85000 65.04432 91.57947 
0.86000 65.09095 91.99699 
0.87000 65.03029 91.76988 
0.88000 65.14220 90.72237 
0.89000 65.11891 92.26952 
0.90000 65.05781 92.24931 
0.91000 65.19871 92.17845 
0.92000 65.16279 92.41062 
0.93000 65.14146 91.98775 
0.94000 65.10148 94.03079 
0.95000 65.22704 92.91203 
0.96000 65.17374 91.81273 
0.97000 65.29439 94.01273 
0.98000 65.19823 92.18018 
0.99000 65.17036 92.17992 
1.00000 65.23870 92.45711 
1.01000 65.24162 92.57530 
1.02000 65.31084 93.20634 
1.03000 65.26644 91.98332 
1.04000 65.18615 92.42002 
1.05000 65.25206 92.24908 
1.06000 65.31496 93.24766 
1.07000 65.31507 93.31516 
1.08000 65.24534 91.28531 
1.09000 65.28911 92.59816 
1.10000 65.29788 93.50121 
1.11000 65.30744 91.88858 
1.12000 65.28805 92.70597 
1.13000 65.33972 92.77017 
1.14000 65.26314 90.39780 
1.15000 65.21539 92.27681 
1.16000 65.27927 91.76937 
1.17000 65.33744 93.28039 
1.18000 65.34058 93.85936 
1.19000 65.26227 91.80154 
1.20000 65.30832 93.40669 
1.21000 65.26206 93.42702 
1.22000 65.28672 92.65783 
1.23000 65.36431 94.00266 
1.24000 65.23063 93.68277 
1.25000 65.35673 92.61555 
1.26000 65.32245 93.61733 
1.27000 65.24510 93.76184 
1.28000 65.32894 93.43658 
1.29000 65.25891 93.01418 
1.30000 65.26539 93.98984 
1.31000 65.27554 93.23399 
1.32000 65.31125 94.31523 
1.33000 65.25008 94.01910 
1.34000 65.27727 92.93319 
1.35000 65.25401 94.69424 
1.36000 65.36297 94.90276 
1.37000 65.27913 93.25649 
1.38000 65.26445 93.80807 
1.39000 65.28315 94.23302 
1.40000 65.22384 93.67721 
1.41000 65.33848 95.19456 
1.42000 65.29101 93.94927 
1.43000 65.29301 94.60719 
1.44000 65.23149 94.98306 
1.45000 65.23190 94.06042 
1.46000 65.35453 95.32317 
1.47000 65.22769 94.53378 
1.48000 65.27830 94.54621 
1.49000 65.28431 95.59962 
1.50000 65.22313 94.69729 
1.51000 65.34075 94.18031 
1.52000 65.30550 94.73350 
1.53000 65.20976 95.08447 
1.54000 65.27915 95.14609 
1.55000 65.26302 94.70524 
1.56000 65.29234 95.00410 
1.57000 65.24487 94.21612 
1.58000 65.25755 95.20224 
1.59000 65.30925 94.92184 
1.60000 65.26747 93.39312 
1.61000 65.30396 95.00202 
1.62000 65.28837 95.19983 
1.63000 65.23431 94.34368 
1.64000 65.32439 94.64781 
1.65000 65.31194 94.66179 
1.66000 65.20188 93.85950 
1.67000 65.22687 94.58439 
1.68000 65.23916 94.48644 
1.69000 65.29426 93.84077 
1.70000 65.22219 94.24553 
1.71000 65.13771 93.51305 
1.72000 65.28774 94.56059 
1.73000 65.23692 93.99790 
1.74000 65.23214 93.44321 
1.75000 65.22435 93.98219 
1.76000 65.18575 93.62357 
1.77000 65.24004 92.61611 
1.78000 65.20545 93.58370 
1.79000 65.15835 93.65868 
1.80000 65.14187 92.30526 
1.81000 65.07361 92.77847 
1.82000 65.15333 91.86159 
1.83000 65.02757 91.65065 
1.84000 65.04090 92.51724 
1.85000 65.10767 90.29005 
1.86000 64.98714 90.38965 
1.87000 65.07146 90.32300 
